                  FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error          Point Props                                            Service               RA (VO)               DEC (VO)               dis (VO)             dis_2 (VO)    Nobjs          Obj.Name (VO)    Obs.Date (VO)    Obs.Qua (VO)    insed           mag (VO)           e_mag (VO) 
             GAIA/GAIA3.Grp    7619.9599926215     4.191779906502E-13    2.5160650930637E-15     4.191779906502E-13    2.5160650930637E-15                  ---                                    gaiadr3_viz.Grp       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1           8.702679             0.006517 
              DENIS/DENIS.I    7861.7155843998    3.5028615603664E-13    1.2905018898755E-14    3.5028615603664E-13    1.2905018898755E-14            nofit,bad                                            denis.I          193.38670100           -22.87288100    0.00010250262891378                    ---        1       J125332.8-225222       1999-06-29            1004      ---              8.812                 0.04 
          HST/ACS_WFC.F814W    7973.3899476156            4.18675E-13            1.51407E-15            4.18675E-13            1.51407E-15                  ---                           gaiadr3_phot_vizflx.814w       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1                ---                  --- 
          Generic/Johnson.I    8568.8882978854            4.24609E-13            1.53021E-15            4.24609E-13            1.53021E-15                  ---                          gaiadr3_phot_vizflx.jkc_I       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1                ---                  --- 
            GAIA/GAIA3.Grvs    8578.1595190347     3.895336867928E-13    8.2309881564567E-15     3.895336867928E-13    8.2309881564567E-15                  ---                                   gaiadr3_viz.Grvs       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1           8.413983             0.022942 
               SLOAN/SDSS.z    8922.7797236408    3.6848235396372E-13    1.6565815602245E-15    3.6848235396372E-13    1.6565815602245E-15                  ---                         gaiadr3_phot_vizflx.sdss_z       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1                ---                  --- 
               SLOAN/SDSS.z    8922.7797236408    2.6688260728733E-13    2.4580796524768E-16    2.6688260728733E-13    2.4580796524768E-16            nofit,bad                                           sdss12.z          193.38662863           -22.87296355     3.3926090022788E-5                    ---        1    J125332.79-225222.6        2000.3373               1      ---              9.268                0.001 
           PAN-STARRS/PS1.y     9613.603597131    3.2858282952692E-13    2.1381676875158E-15    3.2858282952692E-13    2.1381676875158E-15                  ---                           gaiadr3_phot_vizflx.ps_y       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1                ---                  --- 
            Paranal/VISTA.Y    10196.438026756    1.5420355198832E-14    9.6771320284034E-18    1.5420355198832E-14    9.6771320284034E-18    nofit,bad,lowflux                                        vista_vhs.Y    193.38645929965142     -22.87297445718617    0.00014153084817331    0.00060160213543055        2                    ---              ---              16      ---          11.463088         6.8135996E-4 
              DENIS/DENIS.J    12207.176099963    2.3244701186746E-13    1.4986412684236E-14    2.3244701186746E-13    1.4986412684236E-14                  ---                                            denis.J          193.38670100           -22.87288100    0.00010250262891378                    ---        1       J125332.8-225222       1999-06-29            1000        1              7.829                 0.07 
              2MASS/2MASS.J              12350    2.1667338248655E-13    4.1908347647219E-15    2.1667338248655E-13    4.1908347647219E-15                  ---                                            2mass.J          193.38662600           -22.87289400     4.5466953813729E-5                    ---        1       12533279-2252224       1998-05-19               A        1              7.899                0.021 
            Paranal/VISTA.J    12481.040341623    4.6787986852704E-15    3.3059430430554E-18    4.6787986852704E-15    3.3059430430554E-18                  ---                                        vista_vhs.J    193.38645929965142     -22.87297445718617    0.00014153084817331    0.00060160213543055        2                    ---              ---             144        1          11.991963          7.671589E-4 
              2MASS/2MASS.H              16620    1.2320544732459E-13    5.2199148854888E-15    1.2320544732459E-13    5.2199148854888E-15                  ---                                            2mass.H          193.38662600           -22.87289400     4.5466953813729E-5                    ---        1       12533279-2252224       1998-05-19               A        1              7.409                0.046 
           Paranal/VISTA.Ks    21435.422066736    8.9215212434152E-16    1.1186066661665E-18    8.9215212434152E-16    1.1186066661665E-18                  ---                                       vista_vhs.Ks    193.38645929965142     -22.87297445718617    0.00014153084817331    0.00060160213543055        2                    ---              ---             144        1          11.698943         0.0013613281 
             DENIS/DENIS.Ks    21463.547987698    5.1310778528053E-14    3.3081281449612E-15    5.1310778528053E-14    3.3081281449612E-15                  ---                                           denis.Ks          193.38670100           -22.87288100    0.00010250262891378                    ---        1       J125332.8-225222       1999-06-29            1000        1              7.297                 0.07 
             2MASS/2MASS.Ks              21590    5.3228971458424E-14    1.0295395840428E-15    5.3228971458424E-14    1.0295395840428E-15                  ---                                            2mass.K          193.38662600           -22.87289400     4.5466953813729E-5                    ---        1       12533279-2252224       1998-05-19               A        1              7.264                0.021 
               WISE/WISE.W1              33526    1.2387707068367E-14     3.470731517534E-16    1.2387707068367E-14     3.470731517534E-16                  ---                         calc:allwise.W1,neowise.W1                   ---                    ---     0.0001800329067328    0.00018059280428986        5                    ---              ---               A        1                ---                  --- 
               WISE/WISE.W1              33526    1.2265473041938E-14    2.3723527784398E-16    1.2265473041938E-14    2.3723527784398E-16                  ---                                         neowise.W1    193.38643590000001    -22.872981299999999    0.00016413562421749    0.00018059280428986        5       83485a040-000002       2017-06-24               A      ---         7.05999994         0.0209999997 
               WISE/WISE.W1              33526    1.2609105494539E-14    4.2969636754616E-16    1.2609105494539E-14    4.2969636754616E-16                  ---                                         allwise.W1         193.386421204          -22.872991383     0.0001800329067328                    ---        1                    ---              ---             ---      ---              7.030                0.037 
               WISE/WISE.W2              46028    3.1656972593921E-15    4.9658829756617E-17    3.1656972593921E-15    4.9658829756617E-17                  ---                         calc:allwise.W2,neowise.W2                   ---                    ---     0.0001800329067328    0.00018059280428986        5                    ---              ---               A        1                ---                  --- 
               WISE/WISE.W2              46028    3.1283633627604E-15    3.7457279656115E-17    3.1283633627604E-15    3.7457279656115E-17                  ---                                         neowise.W2    193.38643590000001    -22.872981299999999    0.00016413562421749    0.00018059280428986        5       83485a040-000002       2017-06-24               A      ---         7.21899986         0.0130000003 
               WISE/WISE.W2              46028    3.2249065554852E-15    5.9404974087671E-17    3.2249065554852E-15    5.9404974087671E-17                  ---                                         allwise.W2         193.386421204          -22.872991383     0.0001800329067328                    ---        1                    ---              ---             ---      ---              7.186                0.020 
              AKARI/IRC.S9W    82281.469131661    5.0303124278538E-16    1.0937387057041E-16    5.0303124278538E-16    1.0937387057041E-16                  ---                                      akari_irc.S9W           193.3865500            -22.8728300    0.00011835470852449                    ---        1         1253327-225222              ---               3        1                ---                  --- 
               WISE/WISE.W3             115608    9.1774301145382E-17    1.4369633366137E-18    9.1774301145382E-17    1.4369633366137E-18                  ---                                         allwise.W3         193.386421204          -22.872991383     0.0001800329067328                    ---        1                    ---              ---             ---        1              7.128                0.017 
               WISE/WISE.W4             220883    8.3546125600606E-18    6.1559060283316E-19    8.3546125600606E-18    6.1559060283316E-19                  ---                                         allwise.W4         193.386421204          -22.872991383     0.0001800329067328                    ---        1                    ---              ---             ---        1              6.962                0.080 
